A,"СЕЛСКО ГОРСКО И РИБНО СТОПАНСТВО"
39.00,"Възстановяване и други услуги по управление на отпадъци"
F,"СТРОИТЕЛСТВО"
41,"Строителство на сгради"
41.1,"Дейности по реализиране на инвестиционни проекти за сгради"
41.10,"Дейности по реализиране на инвестиционни проекти за сгради"
41.2,"Строителство на жилищни и нежилищни сгради"
41.20,"Строителство на жилищни и нежилищни сгради"
42,"Строителство на съоръжения"
42.1,"Строителство на пътища вкл. релсови"
42.11,"Строителство на автомагистрали пътища и самолетни писти"
42.12,"Строителство на подземни и надземни релсови пътища"
42.13,"Строителство на мостове и тунели"
42.2,"Строителство на преносни и разпределителни проводи и мрежи"
42.21,"Строителство на преносни и разпределителни тръбопроводи"
42.22,"Строителство на преносни и разпределителни електрически и далекосъобщителни мрежи"
42.9,"Строителство на други съоръжения"
42.91,"Строителство на хидротехнически съоръжения"
42.99,"Строителство на други съоръжения некласифицирани другаде"
43,"Специализирани строителни дейности"
43.1,"Разчистване и подготовка на строителната площадка"
43.11,"Събаряне и разрушаване"
43.12,"Земни работи"
43.13,"Сондиране и пробиване"
43.2,"Изграждане на инсталации"
43.21,"Изграждане на електрически инсталации"
43.22,"Изграждане на водопроводни канализационни отоплителни и климатични инсталации"
43.29,"Изграждане на други инсталации"
43.3,"Довършителни строителни дейности"
43.31,"Полагане на мазилки"
43.32,"Монтаж на дограма и дърводелски работи"
43.33,"Полагане на облицовки и настилки"
43.34,"Боядисване и стъклопоставяне"
43.39,"Други довършителни строителни дейности"
43.9,"Други специализирани строителни дейности"
43.91,"Покривни работи"
43.99,"Други специализирани строителни дейности некласифицирани другаде"
G,"ТЪРГОВИЯ РЕМОНТ НА АВТОМОБИЛИ И МОТОЦИКЛЕТИ"
45,"Търговия на едро и дребно с автомобили и мотоциклети техническо обслужване и ремонт"
45.1,"Търговия с автомобили"
45.11,"Търговия с леки и лекотоварни автомобили до 3.5 т"
45.19,"Търговия с други автомобили над 3.5 т"
45.2,"Техническо обслужване и ремонт на автомобили"
45.20,"Техническо обслужване и ремонт на автомобили"
45.3,"Търговия с части и принадлежности за автомобили"
45.31,"Търговия на едро с части и принадлежности за автомобили"
45.32,"Търговия на дребно с части и принадлежности за автомобили"
45.4,"Търговия с мотоциклети и с части за тях техническо обслужване и ремонт на мотоциклети"
45.40,"Търговия с мотоциклети и с части за тях техническо обслужване и ремонт на мотоциклети"
46,"Търговия на едро без търговията с автомобили и мотоциклети"
46.1,"Търговия на едро чрез посредничество"
46.11,"Търговско посредничество със селскостопански суровини живи животни текстилни суровини и полуфабрикати"
46.12,"Търговско посредничество с горива руди метали и химични продукти"
46.13,"Търговско посредничество с дървен материал и материали за строителството"
46.14,"Търговско посредничество с машини промишлено оборудване кораби и самолети"
46.15,"Търговско посредничество с мебели стоки за бита железария и метални изделия"
46.16,"Търговско посредничество с текстил облекло обувки и кожени изделия"
46.17,"Търговско посредничество с хранителни стоки напитки и тютюневи изделия"
46.18,"Специализирано търговско посредничество с други групи стоки"
