792,ПЛОВДИВ - ВОЕННА БОЛНИЦА, бул. ХРИСТО БОТЕВ 85 
794,ПЛОВДИВ, бул. ДУНАВ 66 
795,ПЛОВДИВ - ШАХБАЗЯН, ул. ЦАР ИВАН ШИШМАН 9 
815,ПЛОВДИВ, бул. РУСКИ 125 
836,ПЛОВДИВ - 2-РА ГРАДСКА БОЛНИЦА, бул. НИКОЛА ВАПЦАРОВ 9 
837,ПЛОВДИВ, жк ТРАКИЯ бл. 45 
861,ПЛОВДИВ - ЮНДОЛА, ул. ОРФЕЙ 24 
867,ПЛОВДИВ - МАРИЯ ЛУИЗА, ул. ГЕО МИЛЕВ 18 
883,ПЛОВДИВ - ВХВП, ул. ГЕОРГИ КОМИТАТА 15 
9016,ПЛОВДИВ - ЛЕКСИ ПЕЩЕРСКО ШОСЕ (АВТОМАТ), бул. ПЕЩЕРСКО ШОСЕ 78 
9017,ПЛОВДИВ - ЛЕКСИ КЪРШИЯКА (АВТОМАТ), бул. МАРИЦА 19 
9018,ПЛОВДИВ - ЛЕКСИ КАП. РАЙЧО (АВТОМАТ), ул. КАП. РАЙЧО 56 
9019,ПЛОВДИВ - МЕТРО 1 (АВТОМАТ), бул. САНКТ ПЕТЕРБУРГ 135 
9038,ПЛОВДИВ - ТЕХНИЧЕСКИ УНИВЕРСИТЕТ (АВТОМАТ), ул. ЦАНКО ДЮСТАБАНОВ 25 
231,ПОЛСКИ ТРЪМБЕШ, ул. ТЪРГОВСКА 78 
197,ПОМОРИЕ – ПЕТКО КАРАВЕЛОВ (УЛ.), ул. ПЕТКО КАРАВЕЛОВ 23 
641,ПОМОРИЕ, ул. ЕКЗАРХ ЙОСИФ 7 
730,ПОПОВО, ул. 3-ТИ МАРТ КООП ПАЗАР
551,ПРИМОРСКО, ул. РОПОТАМО 78 
888,ПРОВАДИЯ - АВТОГАРА, ул. ГЕОРГИ ДИМИТРОВ 31 
194,ПЪРВОМАЙ, ул. ХРИСТО БОТЕВ 1 
561,РАДНЕВО, ул. ТАЧО ДАСКАЛОВ 3 
540,РАДОМИР, ул. БАТЕНБЕРГ 31 
9,РАЗГРАД - ОФИС, жк ОСВОБОЖДЕНИЕ бл. 5
120,РАЗГРАД - СКЛАД, ул. МЕБЕЛНА 1 
114,РАЗЛОГ, ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 86 
826,РАКОВСКИ - АЛ. СТАМБОЛИЙСКИ (УЛ.), ул. АЛЕКСАНДЪР СТАМБОЛИЙСКИ 5 
221,РУДОЗЕМ, ул. ВАСИЛ ЛЕВСКИ 14 
10,РУСЕ, бул. БЪЛГАРИЯ 310 
91,РУСЕ - ЦЕНТЪР, ул. МУТКУРОВА 36 
179,РУСЕ - ПРАКТИКЕР, бул. ЛИПНИК 10 
202,РУСЕ, ул. БУРОВ 2 
714,РУСЕ, ул. ЯНТРА 9 БЛ. ДАВ 3
737,РУСЕ, ул. БОРИСОВА 121 
776,РУСЕ - БОРЦИТЕ, ул. ДОБРИН ПЕТКОВ 1 
791,РУСЕ - ЧАРОДЕЙКА (ЖК)," ДРУЖБА,  ул. ЗОРНИЦА 3Б "
849,РУСЕ - ЗДРАВЕЦ ИЗТОК, жк ЗДРАВЕЦ-ИЗТОК ул. КОТОВСК 12 
868,РУСЕ - ЦЕНТЪР, ул. ДУХОВНО ВЪЗРАЖДАНЕ 3 
9042,РУСЕ - МОЛ (АВТОМАТ), бул. ЛИПНИК 121Д 
9051,РУСЕ - ЦБА ЗДРАВЕЦ (АВТОМАТ), бул. ЛИПНИК 88 
71,САМОКОВ, ул. БЪЛГАРИЯ 206 
9033,САМОКОВ - БИЛЛА (АВТОМАТ), бул. ИСКЪР 2 
30,САНДАНСКИ, ул. МЕСТА 24 
116,САНДАНСКИ - СКЛАД, м. СОКОЛОВЕЦ ОКС БАЗА
763,САНДАНСКИ, ул. СВ. СВ. КИРИЛ И МЕТОДИЙ 15 
566,САТОВЧА, ул. АЛ. СТАМБОЛИЙСКИ 5Б 
48,СВИЛЕНГРАД, пл. 14-ТИ МАРТ 13 
36,СВИЩОВ, ул. АЛЕКО КОНСТАНТИНОВ 1 
807,СВОГЕ, ул. ЦАР СИМЕОН 45 
33,СЕВЛИЕВО, ул. СТЕФАН ПЕШЕВ 101 
156,СЕВЛИЕВО - АВТОГАРА, ул. СТОЯН БЪЧВАРОВ 8 
761,СЕПТЕМВРИ, пл. БЪЛГАРИЯ 11 
24,СИЛИСТРА, ул. ТУТРАКАН 14 
171,СИЛИСТРА, бул. МАКЕДОНИЯ 127Г ет. 1 
503,СИМИТЛИ, ул. ВИТОША 5 
7,СЛИВЕН, бул. СТЕФАН КАРАДЖА 38 
92,СЛИВЕН, ул. ЛЪДЖЕНСКА 11 
123,СЛИВЕН, бул. ЦАР ОСВОБОДИТЕЛ 28 
615,СЛИВЕН, бул. ПАНАЙОТ ХИТОВ 77 
616,СЛИВЕН, жк ДРУЖБА бул. СТЕФАН СТАМБОЛОВ 14А 
9040,СЛИВЕН - БИЛЛА БРАТЯ МИЛАДИНОВИ (АВТОМАТ), ул. БРАТЯ МИЛАДИНОВИ 25 
878,СЛЪНЧЕВ БРЯГ 2, кв. КАМЕЛИЯ 89 
29,СМОЛЯН, бул. БЪЛГАРИЯ 9А 
147,СМОЛЯН - СКЛАД, ул. КОСТА АВРАМИКОВ 41 
722,СОЗОПОЛ, ул. МОРСКА 27 
2,СОФИЯ - СОМАТ, ул. АБАГАР 22 
41,СОФИЯ, ул. САМОКОВСКО ШОСЕ 2Л 
65,СОФИЯ, жк СЕРДИКА бул. АКАД. ИВАН ЕВСТРАТИЕВ ГЕШОВ 2Е бл. 1 
66,СОФИЯ, жк МЛАДОСТ 4 ул. БИЗНЕС ПАРК СОФИЯ бл. 2 
67,СОФИЯ, ул. ВЛАДАЙСКА РЕКА 2 СТОЧНА ГАРА-СКЛ. ТОПЛИВО
75,СОФИЯ, бул. ЧЕРНИ ВРЪХ 67 
98,СОФИЯ, ул. ЙЕРУСАЛИМ бл. 141 МАГАЗИН 8
110,СОФИЯ, ул. ЦАР СИМЕОН 172 СГР. НА ПЕТРОЛ
112,СОФИЯ, ул. ПЕТЪР ПАНАЙОТОВ 6 
134,СОФИЯ - ПАЗАР СЛАТИНА," жк СЛАТИНА ПАЗАР ""СЛАТИНА"""
138,СОФИЯ, жк ЛЮЛИН 8 ул. 3011 9 
142,БОЖУРИЩЕ, гр. БОЖУРИЩЕ  ул. ВАЛЕРИ ПЕТРОВ 5 
153,СОФИЯ, ул. СОЛУНСКА 10А 
155,СОФИЯ, бул. СТЕФАН СТАМБОЛОВ 13 
161,СОФИЯ - ДРУЖБА 2, бул. ПРОФ. ЦВЕТАН ЛАЗАРОВ 126 
162,СОФИЯ - ПОЛИГОНА, бул. ЦАРИГРАДСКО ШОСЕ 113А 
163,СОФИЯ, ул. ПРОФ. ГЕОРГИ БРАДИСТИЛОВ 3 ПАЗАР ТУ
165,СОФИЯ - ЛЮБЛЯНА-ФАНТАСТИКО, жк ОВЧА КУПЕЛ ул. ВИТОШКА ПОЛЯНА 4 
172,СОФИЯ, жк ЗОНА Б-19 ул. ЦАРИБРОДСКА 144 
186,СОФИЯ, жк МЛАДОСТ 2 бл. 244 
188,СОФИЯ, бул. ЯНКО САКЪЗОВ 56 
189,СОФИЯ - ТОДОР КАБЛЕШКОВ, ул. ДЕЯН БЕЛИШКИ 64 
193,СОФИЯ, ул. ТОДОРИНИ КУКЛИ 4 
